Series_reference,Period,Data_value,Status,Units,Magnitude,Subject,Periodicity,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
PTSA.SA01HB2NS,2016.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
PTSA.SA01HB2PD,2016.12,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
PTSA.SA01HB2PJ,2017.06,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
PTSA.SA01HB2PM,2017.03,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
PTSA.SA01HB2PS,2016.09,-1,C,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
PTSA.SA01HB3ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Number of transfers
PTSA.SA01HB3NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Number of transfers
PTSA.SA01HB3NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Number of transfers
PTSA.SA01HB3NS,2016.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Number of transfers
PTSA.SA01HB3PD,2016.12,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
PTSA.SA01HB3PJ,2017.06,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
PTSA.SA01HB3PM,2017.03,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
PTSA.SA01HB3PS,2016.09,-1,C,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
PTSA.SA01HB4ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Corporate only,Number of transfers
PTSA.SA01HB4NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Corporate only,Number of transfers
PTSA.SA01HB4NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Corporate only,Number of transfers
PTSA.SA01HB4NS,2016.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Corporate only,Number of transfers
PTSA.SA01HB4PD,2016.12,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Corporate only,Proportion of transfers (where affiliation known)
PTSA.SA01HB4PJ,2017.06,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Corporate only,Proportion of transfers (where affiliation known)
PTSA.SA01HB4PM,2017.03,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Corporate only,Proportion of transfers (where affiliation known)
PTSA.SA01HB4PS,2016.09,-1,C,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Corporate only,Proportion of transfers (where affiliation known)
PTSA.SA01HB5ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Total where affiliation known,Number of transfers
PTSA.SA01HB5NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Total where affiliation known,Number of transfers
PTSA.SA01HB5NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Total where affiliation known,Number of transfers
PTSA.SA01HB5NS,2016.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Total where affiliation known,Number of transfers
PTSA.SA01HB6ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA01HB6ND,2018.12,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA01HB6ND,2019.12,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA01HB6ND,2020.12,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA01HB6ND,2021.12,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA01HB6NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA01HB6NJ,2019.06,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA01HB6NJ,2020.06,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA01HB6NJ,2021.06,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA01HB6NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA01HB6NM,2019.03,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA01HB6NM,2020.03,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA01HB6NM,2021.03,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA01HB6NM,2022.03,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA01HB6NS,2016.09,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA01HB6NS,2019.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA01HB6NS,2020.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA01HB6NS,2021.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Affiliation unknown,Number of transfers
PTSA.SA01HB7ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Total all affiliations,Number of transfers
PTSA.SA01HB7NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Total all affiliations,Number of transfers
PTSA.SA01HB7NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Total all affiliations,Number of transfers
PTSA.SA01HB7NS,2016.09,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,Total all affiliations,Number of transfers
PTSA.SA01HS1ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,At least one NZ citizen,Number of transfers
PTSA.SA01HS1NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,At least one NZ citizen,Number of transfers
PTSA.SA01HS1NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,At least one NZ citizen,Number of transfers
PTSA.SA01HS1NS,2016.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,At least one NZ citizen,Number of transfers
PTSA.SA01HS1PD,2016.12,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,At least one NZ citizen,Proportion of transfers (where affiliation known)
PTSA.SA01HS1PJ,2017.06,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,At least one NZ citizen,Proportion of transfers (where affiliation known)
PTSA.SA01HS1PM,2017.03,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,At least one NZ citizen,Proportion of transfers (where affiliation known)
PTSA.SA01HS1PS,2016.09,-1,C,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,At least one NZ citizen,Proportion of transfers (where affiliation known)
PTSA.SA01HS2ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,At least one NZ resident visa (but no citizens),Number of transfers
PTSA.SA01HS2NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,At least one NZ resident visa (but no citizens),Number of transfers
PTSA.SA01HS2NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,At least one NZ resident visa (but no citizens),Number of transfers
PTSA.SA01HS2NS,2016.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,At least one NZ resident visa (but no citizens),Number of transfers
PTSA.SA01HS2PD,2016.12,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
PTSA.SA01HS2PJ,2017.06,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
PTSA.SA01HS2PM,2017.03,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
PTSA.SA01HS2PS,2016.09,-1,C,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
PTSA.SA01HS3ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,No NZ citizens or resident visas,Number of transfers
PTSA.SA01HS3NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,No NZ citizens or resident visas,Number of transfers
PTSA.SA01HS3NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,No NZ citizens or resident visas,Number of transfers
PTSA.SA01HS3NS,2016.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,No NZ citizens or resident visas,Number of transfers
PTSA.SA01HS3PD,2016.12,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
PTSA.SA01HS3PJ,2017.06,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
PTSA.SA01HS3PM,2017.03,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
PTSA.SA01HS3PS,2016.09,-1,C,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
PTSA.SA01HS4ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Corporate only,Number of transfers
PTSA.SA01HS4NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Corporate only,Number of transfers
PTSA.SA01HS4NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Corporate only,Number of transfers
PTSA.SA01HS4NS,2016.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Corporate only,Number of transfers
PTSA.SA01HS4PD,2016.12,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Corporate only,Proportion of transfers (where affiliation known)
PTSA.SA01HS4PJ,2017.06,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Corporate only,Proportion of transfers (where affiliation known)
PTSA.SA01HS4PM,2017.03,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Corporate only,Proportion of transfers (where affiliation known)
PTSA.SA01HS4PS,2016.09,-1,C,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Corporate only,Proportion of transfers (where affiliation known)
PTSA.SA01HS5ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Total where affiliation known,Number of transfers
PTSA.SA01HS5NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Total where affiliation known,Number of transfers
PTSA.SA01HS5NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Total where affiliation known,Number of transfers
PTSA.SA01HS5NS,2016.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Total where affiliation known,Number of transfers
PTSA.SA01HS6ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA01HS6ND,2018.12,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA01HS6ND,2019.12,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA01HS6ND,2020.12,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA01HS6ND,2021.12,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA01HS6NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA01HS6NJ,2019.06,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA01HS6NJ,2020.06,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA01HS6NJ,2021.06,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA01HS6NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA01HS6NM,2019.03,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA01HS6NM,2020.03,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA01HS6NM,2021.03,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA01HS6NM,2022.03,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA01HS6NS,2016.09,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA01HS6NS,2019.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA01HS6NS,2020.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA01HS6NS,2021.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Affiliation unknown,Number of transfers
PTSA.SA01HS7ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Total all affiliations,Number of transfers
PTSA.SA01HS7NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Total all affiliations,Number of transfers
PTSA.SA01HS7NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Total all affiliations,Number of transfers
PTSA.SA01HS7NS,2016.09,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Sellers,Total all affiliations,Number of transfers
PTSA.SA01NB1ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,At least one NZ citizen,Number of transfers
PTSA.SA01NB1NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,At least one NZ citizen,Number of transfers
PTSA.SA01NB1NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,At least one NZ citizen,Number of transfers
PTSA.SA01NB1NS,2016.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,At least one NZ citizen,Number of transfers
PTSA.SA01NB1PD,2016.12,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
PTSA.SA01NB1PJ,2017.06,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
PTSA.SA01NB1PM,2017.03,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
PTSA.SA01NB1PS,2016.09,-1,C,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
PTSA.SA01NB2ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
PTSA.SA01NB2NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
PTSA.SA01NB2NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
PTSA.SA01NB2NS,2016.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
PTSA.SA01NB2PD,2016.12,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
PTSA.SA01NB2PJ,2017.06,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
PTSA.SA01NB2PM,2017.03,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
PTSA.SA01NB2PS,2016.09,-1,C,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,At least one NZ resident visa (but no citizens),Proportion of transfers (where affiliation known)
PTSA.SA01NB3ND,2016.12,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,No NZ citizens or resident visas,Number of transfers
PTSA.SA01NB3NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,No NZ citizens or resident visas,Number of transfers
PTSA.SA01NB3NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,No NZ citizens or resident visas,Number of transfers
PTSA.SA01NB3NM,2022.03,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,No NZ citizens or resident visas,Number of transfers
PTSA.SA01NB3NS,2016.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,No NZ citizens or resident visas,Number of transfers
PTSA.SA01NB3PD,2016.12,-1,C,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
PTSA.SA01NB3PJ,2017.06,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
PTSA.SA01NB3PM,2017.03,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
PTSA.SA01NB3PM,2022.03,-1,C,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
PTSA.SA01NB3PS,2016.09,-1,C,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,No NZ citizens or resident visas,Proportion of transfers (where affiliation known)
PTSA.SA01NB4ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,Corporate only,Number of transfers
PTSA.SA01NB4NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,Corporate only,Number of transfers
PTSA.SA01NB4NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,Corporate only,Number of transfers
PTSA.SA01NB4NS,2016.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,Corporate only,Number of transfers
PTSA.SA01NB4PD,2016.12,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,Corporate only,Proportion of transfers (where affiliation known)
PTSA.SA01NB4PJ,2017.06,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,Corporate only,Proportion of transfers (where affiliation known)
PTSA.SA01NB4PM,2017.03,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,Corporate only,Proportion of transfers (where affiliation known)
PTSA.SA01NB4PS,2016.09,-1,C,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,Corporate only,Proportion of transfers (where affiliation known)
PTSA.SA01NB5ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,No home involved,Buyers,Total where affiliation known,Number of transfers
